market_role_prod,market_name_prod,variety,grade,week_end,avg_price_prod,market_role_term,market_name_term,avg_price_term,NASCDI
producer,Shopian,Delicious,A,2020-09-20 23:59:59.999999999,48.958333333333336,terminal,Azadpur,66.07142857142857,
producer,Shopian,Delicious,A,2020-09-27 23:59:59.999999999,45.75892857142857,terminal,Azadpur,62.5,
producer,Shopian,Delicious,A,2020-10-04 23:59:59.999999999,41.07142857142857,terminal,Azadpur,70.53571428571429,
producer,Shopian,Delicious,A,2020-10-11 23:59:59.999999999,36.830357142857146,terminal,Azadpur,63.392857142857146,
producer,Shopian,Delicious,A,2020-10-18 23:59:59.999999999,43.526785714285715,terminal,Azadpur,70.53571428571429,
producer,Shopian,Delicious,A,2020-10-25 23:59:59.999999999,46.875,terminal,Azadpur,73.21428571428571,
producer,Shopian,Delicious,A,2020-11-01 23:59:59.999999999,47.767857142857146,terminal,Azadpur,68.30357142857143,
producer,Shopian,Delicious,A,2020-11-08 23:59:59.999999999,47.99107142857143,terminal,Azadpur,68.75,
producer,Shopian,Delicious,A,2020-11-15 23:59:59.999999999,50.825892857142854,terminal,Azadpur,75.0,
producer,Shopian,Delicious,A,2020-11-22 23:59:59.999999999,53.10267857142857,terminal,Azadpur,71.42857142857143,
producer,Shopian,Delicious,A,2020-11-29 23:59:59.999999999,54.910714285714285,terminal,Azadpur,66.96428571428571,
producer,Shopian,Delicious,A,2020-12-06 23:59:59.999999999,56.473214285714285,terminal,Azadpur,66.07142857142857,
producer,Shopian,Delicious,A,2020-12-13 23:59:59.999999999,55.089285714285715,terminal,Azadpur,66.07142857142857,
producer,Shopian,Delicious,A,2020-12-20 23:59:59.999999999,56.25,terminal,Azadpur,69.64285714285714,
producer,Shopian,Delicious,A,2020-12-27 23:59:59.999999999,56.25,terminal,Azadpur,68.75,
producer,Shopian,Delicious,A,2021-01-03 23:59:59.999999999,56.25,terminal,Azadpur,72.32142857142857,
producer,Shopian,Delicious,A,2022-09-18 23:59:59.999999999,31.25,terminal,Azadpur,42.410714285714285,
producer,Shopian,Delicious,A,2022-09-25 23:59:59.999999999,31.25,terminal,Azadpur,39.464285714285715,
producer,Shopian,Delicious,A,2022-10-02 23:59:59.999999999,30.357142857142858,terminal,Azadpur,50.44642857142857,
producer,Shopian,Delicious,A,2022-10-09 23:59:59.999999999,28.571428571428573,terminal,Azadpur,49.55357142857143,
producer,Shopian,Delicious,A,2022-10-16 23:59:59.999999999,30.803571428571427,terminal,Azadpur,54.017857142857146,
producer,Shopian,Delicious,A,2022-10-23 23:59:59.999999999,36.607142857142854,terminal,Azadpur,46.875,
producer,Shopian,Delicious,A,2022-10-30 23:59:59.999999999,35.714285714285715,terminal,Azadpur,48.660714285714285,
producer,Shopian,Delicious,A,2022-11-06 23:59:59.999999999,34.375,terminal,Azadpur,41.07142857142857,
producer,Shopian,Delicious,A,2022-11-13 23:59:59.999999999,35.714285714285715,terminal,Azadpur,44.642857142857146,
producer,Shopian,Delicious,A,2022-11-20 23:59:59.999999999,37.5,terminal,Azadpur,46.42857142857143,
producer,Shopian,Delicious,A,2022-11-27 23:59:59.999999999,37.5,terminal,Azadpur,45.75892857142857,
producer,Shopian,Delicious,A,2022-12-04 23:59:59.999999999,33.92857142857143,terminal,Azadpur,41.74107142857143,
producer,Shopian,Delicious,A,2022-12-11 23:59:59.999999999,31.25,terminal,Azadpur,37.5,
producer,Shopian,Delicious,A,2022-12-18 23:59:59.999999999,31.25,terminal,Azadpur,37.5,
producer,Shopian,Delicious,A,2022-12-25 23:59:59.999999999,31.964285714285715,terminal,Azadpur,37.5,
producer,Shopian,Delicious,A,2023-01-01 23:59:59.999999999,35.208333333333336,terminal,Azadpur,37.5,
producer,Shopian,Delicious,A,2023-09-17 23:59:59.999999999,37.5,terminal,Azadpur,64.28571428571429,
producer,Shopian,Delicious,A,2023-09-24 23:59:59.999999999,37.5,terminal,Azadpur,65.625,
producer,Shopian,Delicious,A,2023-10-01 23:59:59.999999999,37.5,terminal,Azadpur,65.625,
producer,Shopian,Delicious,A,2023-10-08 23:59:59.999999999,53.125,terminal,Azadpur,65.625,
producer,Shopian,Delicious,A,2023-10-15 23:59:59.999999999,58.482142857142854,terminal,Azadpur,65.625,
producer,Shopian,Delicious,A,2023-10-22 23:59:59.999999999,60.714285714285715,terminal,Azadpur,65.625,
producer,Shopian,Delicious,A,2023-10-29 23:59:59.999999999,62.5,terminal,Azadpur,65.625,
producer,Shopian,Delicious,A,2023-11-05 23:59:59.999999999,66.66666666666667,terminal,Azadpur,76.78571428571429,
producer,Shopian,Delicious,A,2023-11-12 23:59:59.999999999,66.07142857142857,terminal,Azadpur,81.25,
producer,Shopian,Delicious,A,2023-11-19 23:59:59.999999999,66.07142857142857,terminal,Azadpur,81.25,
producer,Shopian,Delicious,A,2023-11-26 23:59:59.999999999,59.82142857142857,terminal,Azadpur,80.35714285714286,
producer,Shopian,Delicious,A,2023-12-03 23:59:59.999999999,63.392857142857146,terminal,Azadpur,77.23214285714286,
producer,Shopian,Delicious,A,2023-12-10 23:59:59.999999999,63.839285714285715,terminal,Azadpur,72.76785714285714,
producer,Shopian,Delicious,A,2023-12-17 23:59:59.999999999,56.25,terminal,Azadpur,75.44642857142857,
producer,Shopian,Delicious,A,2023-12-24 23:59:59.999999999,56.25,terminal,Azadpur,76.78571428571429,
producer,Shopian,Delicious,A,2023-12-31 23:59:59.999999999,56.25,terminal,Azadpur,78.125,
producer,Shopian,Delicious,A,2024-09-15 23:59:59.999999999,46.875,terminal,Azadpur,78.85714285714286,
producer,Shopian,Delicious,A,2024-09-22 23:59:59.999999999,46.875,terminal,Azadpur,73.14285714285714,
producer,Shopian,Delicious,A,2024-09-29 23:59:59.999999999,48.660714285714285,terminal,Azadpur,61.714285714285715,
producer,Shopian,Delicious,A,2024-10-06 23:59:59.999999999,49.55357142857143,terminal,Azadpur,63.142857142857146,
producer,Shopian,Delicious,A,2024-10-13 23:59:59.999999999,46.875,terminal,Azadpur,63.714285714285715,
producer,Shopian,Delicious,A,2024-10-20 23:59:59.999999999,47.32142857142857,terminal,Azadpur,65.57142857142857,
producer,Shopian,Delicious,A,2024-10-27 23:59:59.999999999,50.0,terminal,Azadpur,69.71428571428571,
