sim,spearman_vs_baseline,kendall_vs_baseline,mean_abs_diff
454,1.0,0.9999999999999998,0.034222853977112916
455,1.0,0.9999999999999998,0.004006944491461224
456,1.0,0.9999999999999998,0.031293198018481246
457,1.0,0.9999999999999998,0.011459207910564685
458,1.0,0.9999999999999998,0.03529232479391483
459,1.0,0.9999999999999998,0.01926311607902647
460,0.9761904761904763,0.9285714285714285,0.038263561721847125
461,1.0,0.9999999999999998,0.014990994144933469
462,1.0,0.9999999999999998,0.014564819996715925
463,1.0,0.9999999999999998,0.048171914176444224
464,1.0,0.9999999999999998,0.009882338681500305
465,1.0,0.9999999999999998,0.009047240456416306
466,1.0,0.9999999999999998,0.03797489060675315
467,1.0,0.9999999999999998,0.016113714743445022
468,1.0,0.9999999999999998,0.007193848954244214
469,1.0,0.9999999999999998,0.013072509225754265
470,1.0,0.9999999999999998,0.03335568301432345
471,1.0,0.9999999999999998,0.039584347125597816
472,1.0,0.9999999999999998,0.01764208188018041
473,1.0,0.9999999999999998,0.032969364773149976
474,1.0,0.9999999999999998,0.020410543214942782
475,1.0,0.9999999999999998,0.007633551269338984
476,1.0,0.9999999999999998,0.035051086801245704
477,1.0,0.9999999999999998,0.03850267257677558
478,1.0,0.9999999999999998,0.017166900783004313
479,1.0,0.9999999999999998,0.009950644250330445
480,1.0,0.9999999999999998,0.03785623806385746
481,1.0,0.9999999999999998,0.010065836543504889
482,1.0,0.9999999999999998,0.020253204326610104
483,1.0,0.9999999999999998,0.009422171089391855
484,1.0,0.9999999999999998,0.014308968522700083
485,1.0,0.9999999999999998,0.014437114794316294
486,1.0,0.9999999999999998,0.026825681207351723
487,1.0,0.9999999999999998,0.009110762717908408
488,1.0,0.9999999999999998,0.017480436164631866
489,1.0,0.9999999999999998,0.0411697539259272
490,1.0,0.9999999999999998,0.022238864191829112
491,1.0,0.9999999999999998,0.0036508624231376963
492,1.0,0.9999999999999998,0.008912761141075351
493,1.0,0.9999999999999998,0.01735946641320619
494,1.0,0.9999999999999998,0.00457985493351129
495,1.0,0.9999999999999998,0.015987861792512416
496,1.0,0.9999999999999998,0.015927377746775086
497,1.0,0.9999999999999998,0.01215231201623379
498,1.0,0.9999999999999998,0.01683967418325351
499,1.0,0.9999999999999998,0.025069760900034536
500,1.0,0.9999999999999998,0.010556979187220955
501,1.0,0.9999999999999998,0.030954910033813746
502,1.0,0.9999999999999998,0.04181297848793241
503,1.0,0.9999999999999998,0.008663533833281986
504,1.0,0.9999999999999998,0.03679730071950491
505,1.0,0.9999999999999998,0.02557557611545746
506,1.0,0.9999999999999998,0.035804944875628186
507,1.0,0.9999999999999998,0.01238199534400241
508,1.0,0.9999999999999998,0.010097560984344466
509,1.0,0.9999999999999998,0.004558719184757941
510,1.0,0.9999999999999998,0.02425528523555507
511,1.0,0.9999999999999998,0.0076746811984376995
512,1.0,0.9999999999999998,0.037699353704375216
513,1.0,0.9999999999999998,0.004173619501389038
514,1.0,0.9999999999999998,0.01709140417765572
515,1.0,0.9999999999999998,0.029939424973490537
516,1.0,0.9999999999999998,0.011087573407077222
517,1.0,0.9999999999999998,0.037609947929466446
518,1.0,0.9999999999999998,0.007380802086032118
